animename,genre
Saint☆Oniisan (Movie),"4,42"
Majokko Shimai no Yoyo to Nene,10
Sword Art Online: Sword Art Offline,4
Love Lab,"4,22,52,23"
Dog Days'',"1,2,10,62"
Kakumeiki Valvrave,"1,24,18,38,29"
Gin no Saji,"4,23,27"
Monogatari Series: Second Season,"4,7,22,37,32"
The iDOLM@STER Movie: Kagayaki no Mukougawa e!,"4,8,60,19"
Genei wo Kakeru Taiyou,"1,8,10,66,40"
Hidamari Sketch: Sae Hiro Sotsugyou-hen,"36,52,63,23,80"
Koi to Senkyo to Chocolate: Koi Imouto!,"8,22,35,23"
Koi to Senkyo to Chocolate: Ikenai Hazuki-sensei,"8,22,23"
Magi: The Kingdom of Magic,"1,2,10,27"
Servant x Service,"4,50,48,42"
Kakumeiki Valvrave 2nd Season,"1,24,18,38,29"
Kill la Kill,"1,4,10,9,23,31"
Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai,"36,37,63,6,25"
Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials,"4,22,69"
Nisekoi,"4,22,35,23,27"
Gin no Saji 2nd Season,"4,23,27"
Samurai Flamenco,"1,4,10,50,20,31"
Galilei Donna,"1,2,24"
Ore no Imouto ga Konnani Kawaii Wake ga Nai.: SD Chara ni Yoru Short Movie,4
Zoku Natsume Yuujinchou: 3D Nyanko-sensei Gekijou,4
Sword Art Online: Extra Edition,"1,10,79"
Genei wo Kakeru Taiyou: Fumikomenai Kokoro,66
Hidamari Sketch: Chou Hidamatsuri Special,"4,52,63,80"
Natsume Yuujinchou: Itsuka Yuki no Hi ni,"36,37,63,6,25"
Mahouka Koukou no Rettousei,"1,10,22,24,23"
Sekai Seifuku: Bouryaku no Zvezda,"1,4,10,24,31"
Soul Eater: Late Night Show,"1,4,10"
Mushishi: Hihamukage,"2,7,36,37,50,13,63,42"
Persona 3 the Movie 2: Midsummer Knight's Dream,"1,10,37"
Ryuugajou Nanana no Maizoukin,"2,7,37"
Mekakucity Actors,"24,37,31"
Kill la Kill Specials,"1,4,10,9,23,31"
Hanamonogatari,"4,7,37"
Sword Art Online II,"1,2,10,22,64,79"
Mushishi Zoku Shou,"2,7,36,37,50,13,63,42"
Magi: Sinbad no Bouken,"1,2,10,27"
Ping Pong the Animation,"46,8,30,42"
Kuroshitsuji: Book of Circus,"1,10,7,13,6,27"
Fate/stay night: Unlimited Blade Works,"1,10,37"
Uchuu Kyoudai: Number Zero,"4,24,50,29,42"
Appleseed Alpha,"1,2,24,18,38,42"
Aldnoah.Zero,"1,24,18,38"
Kara no Kyoukai Movie: Mirai Fukuin - Manner Movie,8
Durarara!!x2 Shou,"1,7,37"
Shigatsu wa Kimi no Uso,"8,22,64,19,23,27"
Saenai Heroine no Sodatekata,"4,22,9,35,69,23"
Zankyou no Terror,"7,41,39,40"
Kuroshitsuji: Book of Murder,"1,10,7,13,6,27"
Yoku Wakaru Mahouka!,4
Ore no Imouto ga Konnani Kawaii Wake ga Nai.: Ore no Imouto ga Konnani Eroge na Wake Nai,"4,22"
Sekai Seifuku: Bouryaku no Zvezda - Shin Zvezda Daisakusen,"1,4,10"
The iDOLM@STER Cinderella Girls,"4,8,60,19"
Kara no Kyoukai: Manner Movies,"1,4"
Nanatsu no Taizai,"1,2,10,27"
Persona 4 the Golden Animation,"2,7,24,37,23,31"
Persona 3 the Movie 3: Falling Down,"1,10,37"
Mushishi Zoku Shou: Odoro no Michi,"2,7,36,37,50,13,63,42"
Mushishi Zoku Shou 2nd Season,"2,7,36,37,50,13,63,42"
"Little Polar Bear: Shirokuma-kun, Fune ni Noru","2,10,51,15"
Persona 4 the Animation: Mr. Experiment Shorts,4
Persona 4 the Animation: A Brief Lesson on Izanagi & Izanami,23
Magic Kaito 1412,"2,4,22,27"
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,"1,10,37"
Oretachi Ijiwaru Kei,4
Working!!!,"4,22,48,42"
Mahou Shoujo Lyrical Nanoha ViVid,"1,2,66,17"
Aldnoah.Zero Part 2,"1,24,18,29"
Plastic Memories,"8,22,24"
Nisekoi:,"4,22,35,23,27"
Fate/stay night: Unlimited Blade Works Prologue,"1,10,37"
Durarara!!x2 Ten,"1,7,37"
Durarara!!x2 Ketsu,"1,7,37"
Sword Art Online II: Debriefing,"1,2,10,79"
Tsukimonogatari,"4,7,37,9"
Sword Art Online II: Sword Art Offline II,4
Harmony,"24,50,40"
Punch Line,"4,24,37,9,31,78"
Ranpo Kitan: Game of Laplace,"7,41,39,58,40"
Subete ga F ni Naru,"7,24,41,50,39,40"
Koutetsujou no Kabaneri,"1,10,14,41,58,13,76"
Fate/stay night: Unlimited Blade Works 2nd Season,"1,10,37"
Kokoro ga Sakebitagatterunda.,"8,22,70,23"
Gunslinger Stratos The Animation,"1,24"
Hidamari Sketch Recap,"36,52,63,23,80"
Hidamari Sketch x 365 Recap,"36,52,63,23,80"
Hidamari Sketch x ☆☆☆ Recap,"36,52,63,23,80"
Mushishi Zoku Shou: Suzu no Shizuku,"2,7,36,37,50,13,63,42"
Gintama°,"1,4,24,57,13,20,21,27"
Charlotte,"8,23,31"
Aldnoah.Zero Extra Archives,"1,24,18"
Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai,"4,22,9,35"
Dog Days Recap,"1,2,10"
Akuei to Gacchinpo: Tenkomori,"4,15"
ReLIFE,"8,22,23"
The iDOLM@STER Cinderella Girls 2nd Season,"4,8,60,19"
Doukyuusei (Movie),"28,23"
Nanatsu no Taizai OVA,"1,2,10,27"
