animename,genre 
Zhege Nianji Huan Neng Dang Daxia Ma,4
Mudai,"8,22,36,19,80"
Boku wa Mada 7-sai Datta,19
Aurora wo Mita Kyouryuu-tachi,2
Shimajirou to Tanjoubi no Ohoshi-sama,"2,29,15"
Tripod Baby,"19,29"
Scary,"24,19"
Nothing's Gonna Change,"24,19"
Africa no Salaryman (TV),"4,51,48"
Valhait Rising: Kandou e.,"1,2,10,11"
Aoi Hane Mitsuketa! Sagashite Miyou Mijika na Tori-tachi,10
Nanji Nanpun Chikyuu ga Nankai Mawattara,"19,72"
Tsuru ga Mau Yoru ni,10
Servamp,"1,10,32,43"
Saiyuuki Reload Blast,"1,2,4,8,37,6,43"
Servamp Specials,"4,10,32,43"
Devils Line,"1,8,22,37,50,32,42"
Servamp Movie: Alice in the Garden,"1,10,32,43"
Devils Line: Anytime Anywhere,"1,8,22,37,50,32,42"
Kono Oto Tomare!,"8,19,23,27"
Kono Oto Tomare! Part 2,"8,19,23,27"
Kai Byoui Ramune,"7,37,67,40,27"
Koroshi Ai,"1,22,50,68,43"
Watashi no Oshi wa Akuyaku Reijou.,"4,10,26,62,23"
Yankee Hamster,"4,55,71"
Yankee Hamster Season 2,"4,55,71"
Yankee Hamster Season 3,"4,55,71"
Onegai! Wooper Looper,4
Otenki Pokojiro,4
Honnou da Zou,4
Yankee Hamster Season 4,"4,55,71"
Nui Story,4
Genshiken,"36,50,69,20,42"
Kujibiki Unbalance,"4,22,23"
Palme no Ki,"2,8,10,22"
Bartender,"8,47,50,48,42"
Master of Epic: The Animation Age,"4,10,79"
Tetsujin 28-gou (2004),"2,8,24,13,18,27"
Genshiken 2,"36,50,69,20,42"
Tetsujin 28-gou: Hakuchuu no Zangetsu,"1,2,24,18"
Ikoku Irokoi Romantan,"28,4,49"
Kirepapa.,"28,4,8,49"
Seitokaichou ni Chuukoku,"28,4,8,49,23"
Hyakujitsu no Bara,"28,8,49,50"
Koisuru Boukun,"28,4,49"
Tight-rope,28
Hyakujitsu no Bara: Jinginaki Nikukyuu-hen,"28,49,20"
Towel Story,36
Fettu to Ccine to Gummi Seijin,4
Boku wa Shitteru yo.,"36,71"
Peace Shitenchou,4
Sougou Medical Koushiki,"8,67"
Kinyoubi no Yakusoku,8
Jun You Yun,"1,2,10,13,17"
Anhe Zhuan,"1,2,7,13,17"
Jun You Yun 2nd Season,"1,2,10,13,17"
Di Yi Xulie,"1,2,10,24"
Anhe Zhuan Part 2,"1,2,7,13,17"
Chikyuugai Shounen Shoujo,"24,29"
Dead Dead Demons Dededede Destruction,"8,24,23,42"
Uchuu Camper Chicchi,24
Dead Dead Demons Dededede Destruction (ONA),"8,24,23,42"
Dead Dead Demons Dededede Destruction (ONA) Episode 0,"8,24,23,42"
47 Todoufuken,"4,15"
47 Todoufuken Specials,"4,22,15"
Doushitemo Eto ni Hairitai,4
Doushitemo Eto ni Hairitai 2,4
Mouse Doubutsuen,4
Court no Naka no Tenshi-tachi,"30,12,23"
Kaette Kita Court no Naka no Tenshi-tachi,12
Detective File 1: Kindan no Ai,12
Chijoku Kankin,12
Kyouhaku: Owaranai Ashita,12
Shusaku,"12,23"
Isaku: Respect,12
Kyouhaku: Owaranai Ashita - Special Stage,12
Kujira no Chouyaku,"46,8,10,15"
Kotetsu no Daibouken,"1,4,10,22,24,9"
Ginga no Uo Ursa Minor Blue,"46,10,15"
Rhythm: Koi no Rhythm,12
Gochuumon wa Usagi desu ka?? Dear My Sister,"36,52,63,48"
Mahou Shoujo Site,"1,8,14,37,41,58,66,40"
Mahou Shoujo Site Recaps,"8,14,37,58,66,40"
Gochuumon wa Usagi desu ka?? Sing for You,"36,52,63,48"
Ani ni Tsukeru Kusuri wa Nai! 3,"4,23"
Ani ni Tsukeru Kusuri wa Nai! 4,"4,23"
Ani ni Tsukeru Kusuri wa Nai! 5,"4,23"
Liang Bu Yi,"4,22,13"
Liang Bu Yi 2nd Season,"4,22,13"
Tu Bian Yingxiong X,"1,31"
Puso Ni Comi,"1,4,24,20,23,79"
Puso Ni Comi: Okawari,"4,20,79"
Matsuinu,71
Soukihei MD Geist,"1,24,50,58,18,38"
Roots Search: Shokushin Buttai X,"14,24,29"
Hakugin,"8,19"
Poketoon,"2,4,15"
Choujigen Kakumei Anime: Dimension High School,"10,23"
Isekai Shokudou 2,"10,47,36,62,48"
Lu Shidai,"1,2,4,20,79"
Lu Shidai 2nd Season,"1,2,4,20,79"
Angel,"4,12,23"
Gakuen Shimai,12
Karakara-sama no Himitsu,12
Hika Ryoujoku: Wana ni Hamatta Futari,12
Go! Go! Atom,"1,2,8,24,15"
Meijyou,12
Ba Ma Laizi Er Ciyuan,"4,23"
Midnight Crazy Trail,
In no Houteishiki,"12,23"
Ikemen Kyuugo-tai Nurse Angels,4
Gabuli,"1,24,19"
My Song,19
Dainouteki na Rendezvous,19
Kuromi's Pretty Journey,"4,10"
Hex,19
Eldraine no Mori: Twin Fates,"1,10,19"
Hi Fu Mii Yoru: Watage no Koto,19
Nekokaburi na,19
Kaijin Kaihatsu-bu no Kuroitsu-san,"4,10,48"
Inu ni Nattara Suki na Hito ni Hirowareta.,"4,9"
Inu ni Nattara Suki na Hito ni Hirowareta. Specials,"4,9"
Bokura no Ame-iro Protocol,"1,79"
NEET Kunoichi to Nazeka Dousei Hajimemashita,"4,22,37"
Balala Xiao Mo Xian Zhi: Feiyue Cai Ling Bao,"4,10,66"
Balala Xiao Mo Xian: Feiyue Cai Ling Bao 2nd Season,"4,10,66"
Ji Jia Shou Shen,"1,2"
Ji Jia Shou Shen 2nd Season,"1,2"
Jie Mo Ren,"1,10,7,37"
Jiuzhou Feichang Dao,"1,10,13"
Shi Wangzhe A?,"4,10"
Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai,"22,23"
Suki ni Naru Sono Shunkan wo. Kokuhaku Jikkou Iinkai,"4,8,22,23"
Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai: Kinyoubi no Ohayou,"22,23"
Biohazard: Infinite Darkness,"1,14,24"
Biohazard: Death Island,"1,14,24"
First Step,"36,19"
Yao Shen Ji,"1,2,10,22,17,6"
Yao Shen Ji 2nd Season,"1,2,10,22,17,6"
Wan Jie Xian Zong,"1,2,10,22,13,17,6"
Yao Shen Ji 3rd Season,"1,2,10,22,17,6"
Wan Jie Shen Zhu,"2,10"
Wan Jie Xian Zong 2nd Season,"1,2,10,22,13,17,6"
Yao Shen Ji 4th Season,"1,2,10,22,17,6"
Wan Jie Xian Zong 3rd Season,"1,2,10,22,13,17,6"
Wan Jie Shen Zhu 2nd Season,"2,10"
Wushen Zhuzai,"1,8,10,13,17"
Wan Jie Chun Qiu,"1,2,10,22,13,17"
Wu Shang Shen Di,"1,2,37"
Xian Feng Jianyu Lu,"1,10,37"
Wan Jie Xian Zong 4th Season,"1,10,22,13,6"
Tian Huang Zhan Shen,"1,10,13,17"
Wan Jie Fa Shen,"2,10,22,17"
Wei Wo Du Shen,"1,10"
Xing Wushen Jue,"1,10,17"
Wan Jie Qi Yuan,"10,17"
Wan Jie Shen Zhu 3rd Season,"2,10"
Wan Jie Du Zun,"10,13,17"
Wu Shang Shen Di 2nd Season,"1,2,10,37"
Xinghe Zhizun,"1,10,13"
Wan Jie Xian Zong 5th Season,"1,10,22,13,6"
Jiu Tian Xuan Di Jue,"2,10,17,6"
Yao Shen Ji 5th Season,"1,2,10,22,17,6"
Jian Yu Feng Yun,"1,2,10,17"
Xing Yuan Zhi Zhu,"1,10"
Zhen Wu Dianfeng,"1,2,10,13,17"
Xinghe Zhizun 2nd Season,"1,10,13"
Jiu Tian Xuan Di Jue 2nd Season,"1,2,10,17,6"
Jidao Long Shen,"1,10"
Shishang Zui Qiang Nan Zhujiao,"1,10,17"
Xing Wushen Jue 2nd Season,"1,10,17"
Xian Wu Cangqiong,"1,10,17"
Wan Jie Du Zun 2nd Season,"1,2,10,13,17"
Jiu Tian Xuan Di Jue 3rd Season,"1,2,10,17,6"
Wan Jie Zhizun,"1,2,10,17"
Jian Yu Feng Yun 2nd Season,"1,2,10,13,17"
Yao Shen Ji 6th Season,"1,2,10,22,17,6"
Qing Lian Jian Xian Chuan,"1,2,10,17"
Zhen Wu Dianfeng 2nd Season,"1,2,10,13,17"
Jiu Tian Xuan Di Jue 4th Season,"1,2,10,17,6"
Wuhang Zhanshen,"1,2,10,17"
Jiu Chen Fengyun Lu,"1,2,10,13,17"
Mo Zhuang Chuanshuo,"1,2,10,17"
Wan Jie Zhizun 2nd Season,"1,2,10,17"
Jian Yu Feng Yun 3rd Season,"1,2,10,13,17"
Tai Yi Jian Xian Chuan,"1,2,10,13,17"
Jiu Tian Xuan Di Jue 5th Season,"1,2,10,17,6"
Zhen Wu Dianfeng 3rd Season,"1,2,10,13,17"
Dan Dao Zhizun,"1,2,10,13,17"
Wangu Kuang Di,"1,2,10,13,17"
Taigu Xing Shen Jue,"1,2,10,13,17"
Shenlong Xing Zhu,"1,10,24"
Divergence Eve,"2,8,24,18,38,29"
Divergence Eve 2: Misaki Chronicles,"2,8,24,18,38,29"
Akahori Gedou Hour Rabuge,"4,20"
Haibane Renmei,"8,10,7,41,40"
Wind: A Breath of Heart (TV),"8,22,37,23"
Sakura Taisen: Le Nouveau Paris,"2,24,18,70"
Jinzou Ningen Kikaider The Animation,"1,8,24,18,27"
Legend of Duo,"28,8,37,32"
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,"4,8,22,24,35,78"
Lemon Angel Project,"8,60,19"
Comic Party Revolution,"4,8,69"
Nanako Kaitai Shinsho,"4,24,9,18,67,38"
Love Get Chu,"4,22,75"
Sakura Taisen: Ouka Kenran,"1,2,24,18,70"
Sakura Taisen: Gouka Kenran,"2,24,36,18,70"
Silent Möbius,"1,4,8,10,14,22,24"
Kikaider 01 The Animation,"1,2,8,24,18,27"
Jikuu Tenshou Nazca,"1,2,8,10,72"
Master Mosquiton '99,"1,2,4,37,32"
Mitsu x Mitsu Drops,"8,22,23,25"
Sakura Taisen: Ecole de Paris,"1,2,24,18,70"
Sakura Taisen: Kanzaki Sumire Intai Kinen - Su Mi Re,"8,24,18,70"
Wind: A Breath of Heart Specials,"4,22,23"
Bakegyamon,"1,10,62,6,11,27"
Shiawase Sou no Okojo-san,"4,71"
Guitar wo Motta Shounen: Kikaider vs. Inazuman,"24,27"
Dennou Boukenki Webdiver,"1,2,24,18"
Vie Durant,"8,24,32"
Cream Lemon: New Generation,"8,22"
Baby Felix,"4,51,15"
Wonder Bebil-kun,"4,10"
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary OVA,"4,8,22,24,35,78"
Backkom,"4,15"
Backkom Meogeujan Yeohaeng,"2,4,15"
Backkom 2,"4,15"
Backkom Sports,"4,30,15"
Clock,5
Angel (Special),5
I Love Picnic,"4,15"
I Love Sky,"4,15"
Contact 2,"4,24,15"
Sheep in the Island,4
Ultra Dino Makera,"1,15"
Contact,"4,24,15"
SheepWolf,"4,15"
His Lipstick,"4,15"
Super Backkom,"4,31,15"
Backkom Mission Impossible,"4,20,15"
Backkom: Jung-gug Gijeogwi,"4,15"
Backkom Specials,"4,31,15"
Da Wei Bei Ken: Daomei Tegong Xiong,"1,8,15"
Bei Ken Xiong 2: Jinpai Tegong,"1,4,15"
Yeon-ae Haru Jeon Zero,"22,23"
Yeon-ae Halujeon 2,"22,36"
Yeon-ae Halujeon,"22,36"
Geu Yeoreum,"8,26"
Tian Guan Cifu Er,"1,2,8,10,13,6"
Aishang Ta de Liyou,"8,22,50,64"
Beng Huai: Xing Qiong Tiedao - Xuanhuang,"1,24"
Geu Yeoreum Movie,"8,26"
Xiehou ta de Shaonu Shidai,"8,37"
Aishang Ta de Liyou Extra,"22,50"
Madobe Nanami no Windows 7 de PC Jisaku Ouen Commercial!!,4
Nihonbashi Koukashita R Keikaku,19
Anitore! EX,30
Anitore! EX: Jigoku no Training,30
Anitore! XX: Hitotsu Yane no Shita de,30
Anitore! XX: Hitotsu Yane no Shita de Specials,"30,9"
Zenryoku Usagi (2023),"4,15"
FLCL Alternative,"1,5,4,24,18,20"
Babylon,"7,41,50,39,40"
Deep Blue Town e Oide yo,19
Deep Blue Song,19
"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita","4,10,52,62,72"
"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita","1,2,10,62"
Dropout,"12,23"
Residence,"12,6"
Ano Danchi no Tsuma-tachi wa... The Animation,12
Kyonyuu Onna Shikan Sennou Saimin,12
Historical,"2,13"
Ruru-chan no Jisatsu Haishin,19
Boku no Sensou,"41,19,40"
Hikousen,"10,19"
Tokyo Futago Athletic,"4,30"
Kabi Usagi (2016),4
Kabi Usagi,4
Ongaku,"46,36,19"
Hyakuemu.,"8,30"
Bai Lian Cheng Shen,"1,2,10,13,17"
Bai Lian Cheng Shen 2nd Season,"1,2,10,13,17"
Fuyu no Sonata,"8,22"
Fuyu no Sonata: Joshou - Hatsuyuki no Negai,"8,22"
Ganbatte Ikimasshoi,"30,77"
Fei Ba! Lanqiu,"4,30,23,77"
Zipang,"1,8,24,50,13,38,78,42"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"1,8,22,50,13,21,27"
Rurouni Kenshin: Meiji Kenkaku Romantan,"1,4,22,13,21,27"
Ou Dorobou Jing,"2,4,10,24,27"
Ou Dorobou Jing in Seventh Heaven,"2,4,10,40,27"
Fruits Basket,"8,22,37,64,23,25"
Full Moon wo Sagashite,"4,8,22,37,19,75,25"
GetBackers,"1,7,37,31,27"
Kita e.: Diamond Dust Drops,"8,22"
Maria-sama ga Miteru,"8,26,23,25"
Tactics,"7,37,13,6,27"
Initial D Third Stage,"1,8,22,3,42"
Yumeria,"1,4,9,35,31"
R.O.D: Read or Die,"1,2,7,24,50,13"
R.O.D: The TV,"1,2,4,8,24,31"
Ranma ½,"1,4,10,9,65,17,27"
Jigoku Shoujo,"14,7,37,41,40"
Gravitation,"28,4,50,19,75,25"
Groove Adventure Rave,"1,2,4,10,22,27"
Kyou kara Maou!,"2,4,10,62,25"
Matantei Loki Ragnarok,"4,7,37,6,27"
Fate/stay night,"1,10,22,37"
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,"8,22,13,21,27"
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,"2,4,65,27"
Samurai Deeper Kyou,"2,4,37,13,21,27"
Maria-sama ga Miteru: Haru,"8,26,23,25"
Ueki no Housoku,"1,2,37,31,27"
Yami to Boushi to Hon no Tabibito,"2,10,26,7,9"
Tekken,"1,2,24,17"
DNA²,"4,22,24,78,27"
Amaenaide yo!!,"4,22,37,9,35,42"
Mouse,"1,4,9,35,42"
Haunted Junction,"4,37,23,27"
Shadow Skill: Eigi,"1,2,8,10,17,31,27"
Binchou-tan,"4,63"
Bomberman Jetters,"1,2,4,24,29"
Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!,"2,4,65,27"
Kokoro Toshokan,"4,36,63,48"
Simoun,"8,10,26,38"
Tenshi no Tamago,"5,8,10"
Amaenaide yo!! Katsu!!,"4,22,37,9,35,42"
Princess Princess,"4,81,23,25"
Ginga Densetsu Weed,"2,8,51,42"
Higurashi no Naku Koro ni,"14,7,37,41,58,40"
Star Ocean EX,"2,10,24,27"
Ranma ½ OVA,"1,4,22,9,65,17,27"
Ranma ½: Yomigaeru Kioku,"4,8,22,65,27"
Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,"1,2,4,37,17,27"
Ranma ½ Super,"1,2,4,22,37,17,27"
Kidou Keisatsu Patlabor the Movie,"1,8,50,18,38"
Senkaiden Houshin Engi,"1,2,10,13,27"
Musekinin Kanchou Tylor OVA,"2,4,8,24,38,29"
Momoiro Sisters,4
Eden's Bowy,"1,2,10,22,24,27"
Kidou Keisatsu Patlabor,"1,4,24,50,18,48"
Urusei Yatsura,"4,22,24,27"
Hamelin no Violin Hiki,"2,8,10"
Atama Yama,"5,46,4,10,41,40"
Taiho Shichau zo (TV),"1,4,50,39,48,42"
Maison Ikkoku,"4,8,22,50,42"
Hakaima Sadamitsu,"1,24,18,23,42"
Shounen Onmyouji,"1,10,13,6,25"
Kishin Douji Zenki,"1,4,8,10,14,6,27"
Get Ride! AMDriver,"2,24,18"
Taiho Shichau zo,"1,4,39,48,42"
Jigoku Shoujo Futakomori,"14,7,37,40"
Eat-Man '98,"1,2,24,31,27"
Eat-Man,"1,2,24,31,27"
Maria-sama ga Miteru 3rd,"8,26,23,25"
Amaenaide yo!!: Yasumanaide yo!!,"4,22,37,9,35,42"
Amaenaide yo!! Katsu!!: Damasarenaide yo!!,"4,22,37,9,35,42"
Higurashi no Naku Koro ni Kai,"14,7,37,41,58,40"
Urusei Yatsura OVA,"2,4,24,27"
Urusei Yatsura Movie 3: Remember My Love,"1,2,4,8,22,24,27"
Urusei Yatsura Movie 4: Lum The Forever,"1,2,4,8,22,24,27"
Misute♡naide Daisy,"4,22,24,27"
Twilight Q,"7,24,40"
Full Moon wo Sagashite: Kawaii Kawaii Daibouken,"4,10,37,25"
Taiho Shichau zo in America,"1,4,7,50,39,48,42"
Taiho Shichau zo Special,"1,4,50,39,48,42"
Taiho Shichau zo The Movie,"1,4,8,50,39,48,42"
Taiho Shichau zo: Second Season,"1,4,50,39,48,42"
Shining Tears X Wind,"1,2,10,62"
Touka Gettan,"8,10,22,9"
Chou Kidou Densetsu DinaGiga,"24,18"
Ai Monogatari: 9 Love Stories,"8,22"
Shion no Ou,"8,7,41,11"
Code-E,"4,22,24,23"
Urayasu Tekkin Kazoku,"4,57,27"
Reinou Tantei Miko,"4,12"
Higurashi no Naku Koro ni Special: Nekogoroshi-hen,7
Maria-sama ga Miteru 3rd Specials,"4,26,25"
Suteki Tantei Labyrinth,"7,24,27"
Kyou kara Maou! R,"2,4,10,62,25"
Taiho Shichau zo: Full Throttle,"1,4,50,39,48,42"
Junjou Romantica,"28,4,8,50"
Hatenkou Yuugi,"2,4,8,10,22,43"
Amatsuki,"1,10,13,6,78,43"
Vampire Knight,"8,7,22,37,64,32,25"
Maria-sama ga Miteru Specials,"4,26,23,25"
Maria-sama ga Miteru: Haru Specials,"8,26,23,25"
Maison Ikkoku: Shiki Utsuriyuku Kisetsu no Naka de,"4,8,22,50,42"
Maison Ikkoku: Prelude - Meguru Haru no Sakura no You ni...,"4,8,22,50,42"
Higurashi no Naku Koro ni Rei,"14,7,37,41,58,40"
Jigoku Shoujo Mitsuganae,"14,7,37,40"
Maria-sama ga Miteru 4th,"8,26,23,25"
Masuda Kousuke Gekijou Gag Manga Biyori 3,"4,57"
Kyou kara Maou! 3rd Series,"2,4,10,62,25"
Taiho Shichau zo: Nagisa no Koutsuu Yuudou,"1,4,7,50,39,48,42"
Mission-E,"1,4,24,23"
Rurouni Kenshin: Special Techniques,"1,4,21,27"
Papa to Odorou,4
Vampire Knight Guilty,"8,7,22,37,64,32,25"
Hello Harinezumi: Satsui no Ryoubun,"8,7,40,42"
Junjou Romantica 2,"28,4,8,50"
Umineko no Naku Koro ni,"14,7,37,41,58,40"
Next Senki Ehrgeiz,"1,24,18,29"
Rokumon Tengai Mon Colle Knights,"2,4,10,20,15"
Hetalia Axis Powers,"4,51,57,13,20"
Rokumon Tengai Mon Colle Knights Movie: Densetsu no Fire Dragon,"2,4,10"
Ranma ½: Akumu! Shunmin Kou,"1,4,37,65,17,27"
07-Ghost,"1,10,38,6,43"
Kishin Douji Zenki Gaiden: Anki Kitan,"1,37,6,27"
Yume wo Kanaeru Zou,4
Seitokai no Ichizon,"4,35,20,23"
F,"3,42"
Higurashi no Naku Koro ni Kai Specials,"4,20"
Cookin' Idol Ai! Mai! Main!,"4,47,15"
Maria-sama ga Miteru 4th Specials,"4,26,25"
Taiho Shichau zo: Full Throttle - Watashitachi no Iru Basho,"1,2,4,39,48"
Junjou Romantica Special,"28,4"
Rurouni Kenshin DVD-BOX Special Ending,"22,13"
Hakuouki,"1,8,37,13,21,43"
Fate/stay night Movie: Unlimited Blade Works,"1,10,37"
Super Zugan,"4,11,27"
"Hetalia Axis Powers Movie: Paint it, White","4,13,20"
Fate/stay night TV Reproduction,"1,10,22,37"
Umineko no Naku Koro ni Specials,"4,20"
Nurarihyon no Mago,"1,37,6,27"
Shounen Santa no Daibouken!,"2,10"
Giant Killing,"8,30,77,42"
Starry☆Sky,"73,23,43"
Masuda Kousuke Gekijou Gag Manga Biyori +,"4,57"
Sekaiichi Hatsukoi OVA,28
Vampire Knight: Gekiai no Portrait,"4,32,25"
Doubutsu Kankyou Kaigi,"51,56,15"
Hetalia World Series,"4,51,57,13,20"
Kore wa Zombie desu ka?,"1,4,10,9,35,32"
Eiyuu Gaiden Mozaicka,10
Nippon-ichi no Otoko no Tamashii,"4,22"
Nippon-ichi no Otoko no Tamashii 2,"4,22"
Hakuouki: Hekketsuroku,"1,8,37,13,21,43"
Dragon Crisis!,"1,10,22,35,23"
Rurouni Kenshin: Review Special,"1,4,21,27"
Hakuouki: Hekketsuroku - Kyoto Kaisouroku,"1,8,37,13,21,43"
Nurarihyon no Mago Recaps,"1,37,6,27"
Hetalia Axis Powers Fan Disc,"4,13,20"
Sekaiichi Hatsukoi,"28,50,69,48"
Nurarihyon no Mago: Sennen Makyou,"1,37,6,27"
Kore wa Zombie desu ka? OVA,"1,4,10,9,35,32"
Rurouni Kenshin Recap,"1,2,4,22,13,21"
Hakuouki: Sekkaroku,"1,8,10,13,43"
Higurashi no Naku Koro ni Kira,"4,7,20"
Hetalia World Series Specials,"4,13,20"
Downloader,19
Kore wa Zombie desu ka? of the Dead,"1,4,10,9,35,32"
Chime,19
Nurarihyon no Mago: Gekitou Dai Futsal Taikai! Nuragumi W Cup!!,"30,37,6,77,27"
Nurarihyon no Mago: Sennen Makyou Recaps,"1,37,6,27"
Ziggy: Soreyuke! R&R Band,"2,7,19"
Sekaiichi Hatsukoi 2,"28,50,69,48"
Hybrid Child,"28,8,24,13"
Kuma no Puutarou,4
Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen,"1,8,13,21,27"
Sekiranun Graffiti,19
Sankarea,"4,14,22,37,9,64,27"
Hakuouki OVA,"1,8,37,13,21"
Poyopoyo Kansatsu Nikki,"4,36,71,42"
Rurouni Kenshin Special,"1,22,13,21,27"
Hiiro no Kakera,"10,22,73,43"
AWOL,"1,24,38,29"
Sankarea OVA,"4,14,22,37,9,64,27"
Hakuouki: Reimeiroku,"1,8,37,13,21,43"
Hakuouki Movie 1: Kyoto Ranbu,"1,8,37,13,21,43"
Hakuouki Movie 2: Shikon Soukyuu,"1,8,37,13,21,43"
Junjou Romantica OVA,"28,4,8,50"
Hiiro no Kakera 2nd Season,"10,22,73,43"
Hetalia: The Beautiful World,"4,51,57,13,20"
"Kore wa Zombie desu ka? of the Dead: Hai, Minotake ni Attemasu","1,4,10,9,35,32"
Hakkenden: Touhou Hakken Ibun,"1,10,7,6,25"
Nurarihyon no Mago OVA,"1,37,6,27"
Sankarea: Wagahai mo... Zombie de Aru...,"4,14,22,37,9,64,27"
Higurashi no Naku Koro ni Kaku: Outbreak,"14,7,37,58,40"
Hiiro no Kakera: Totsugeki! Tonari no Ikemenzu,"4,10,73,43"
Hetalia: The Beautiful World Specials,"4,51,13,20"
Dohyou no Oni-tachi,"8,30,54,13"
Rozen Maiden (2013),"1,4,8,10,42"
Hakkenden: Touhou Hakken Ibun 2nd Season,"1,10,7,6,25"
Gifuu Doudou!!: Kanetsugu to Keiji,"1,13,17,21,42"
Hakuouki: Reimeiroku OVA,"1,37,43"
Judo-bu Monogatari,"30,23"
Megane-bu!,"4,23"
Pupa,"10,14,41,58,40"
Waanabi.jk,"4,23"
Sakura Trick,"4,26,23,42"
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,"28,4,8,53,48"
Sekaiichi Hatsukoi: Valentine-hen,"28,50,48"
Hetalia: The Beautiful World Extra Disc,"4,13,20"
Washimo,"4,24,36,23,15"
Bakumatsu Rock,"1,4,13,19,70"
Meshimase Lodoss-tou Senki: Sorette Oishii no?,4
Log Horizon 2nd Season,"1,2,10,50,79"
Maido! Urayasu Tekkin Kazoku,"4,57,27"
Hoozuki no Reitetsu OVA,"4,10,6,42"
Bakumatsu Rock: Mystery! Onsen Kaijiken ze yo!!,"7,19,70"
Junjou Romantica 3,"28,4,8,50"
Shouwa Genroku Rakugo Shinjuu: Yotarou Hourou-hen,"8,50,64,70,43"
Itsumo Kokoro ni Taiyou wo!,"4,9"
Hetalia: The World Twinkle,"4,51,57,13,20"
Shouwa Genroku Rakugo Shinjuu,"8,13,64,70,43"
Washimo 2nd Season,"4,24,36,23,15"
Ongaku Shoujo,"36,19"
Meiji Tokyo Renka Movie 1: Yumihari no Serenade,"10,22,73,78,43"
Jewelpet Magical Change,"4,10,51,66"
Hero Company,"4,31,42"
Princess Princess Specials,"4,81,23,25"
Kono Subarashii Sekai ni Shukufuku wo!,"2,4,10,62,20"
Washimo 3rd Season,"4,24,36,23,15"
Hatsukoi Monster,"4,22,23,25"
Hetalia: The World Twinkle Specials,"4,13,20"
Tonkatsu DJ Agetarou,"4,19,27"
Luger Code 1951,"1,10,27"
Super Lovers,"28,4,8"
Hetalia: The World Twinkle Extra Disc,"4,13,20"
Reikenzan: Hoshikuzu-tachi no Utage,"4,10"
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,"4,10,62,20"
Sakamoto desu ga?,"4,57,23,42"
Nameko: Sekai no Tomodachi,"4,15"
Kono Subarashii Sekai ni Shukufuku wo! 2,"2,4,10,62,20"
Super Lovers OVA,"28,4,8"
Reikenzan: Eichi e no Shikaku,"4,10"
Meiji Tokyo Renka Movie 2: Hanakagami no Fantasia,"10,22,13,73,78,43"
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,"8,50,13,64,70,43"
Washimo 4th Season,"4,24,36,23,15"
Naze Ikiru: Rennyo Shounin to Yoshizaki Enjou,13
Super Lovers 2,"28,4,8"
Sakamoto desu ga? Sakamoto deshita?,"4,57,23,42"
Ao Oni The Animation,"4,14,58"
Ao Oni The Animation (Movie),"14,7"
Kabuki-bu!,"70,23"
Hatsukoi Monster: Mou Chotto dake Tsuzukunja,"4,22,23,25"
The Reflection,"1,31"
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,"2,4,10,62,20"
Rilu Rilu Fairilu: Yousei no Door,"10,36"
Rilu Rilu Fairilu: Mahou no Kagami,"10,36"
Jigoku Shoujo: Yoi no Togi,"14,7,37,40"
Hoozuki no Reitetsu 2nd Season,"4,10,6,42"
Gurazeni,"30,50,77,42"
Washimo 5th Season,"4,24,36,23,15"
"Kabuki-bu!: Oogiri ""Chiyocolate-gassen""","70,23"
Itou Junji: Collection,"8,14,7,37,41,40"
Itou Junji: Collection - Tomie,"8,14,37,25"
Hoozuki no Reitetsu 2nd Season: Sono Ni,"4,10,6,42"
Oshiete Mahou no Pendulum: Rilu Rilu Fairilu,"10,36"
Ongaku Shoujo (TV),"36,60,19"
Muhyo to Rouji no Mahouritsu Soudan Jimusho,"7,37,6,27"
Majutsushi Orphen Hagure Tabi,"1,2,8,10,17"
Bakumatsu,"1,13,21,78"
Aguu: Tensai Ningyou,"1,8,37"
Gurazeni Season 2,"30,50,77,42"
Yuukai Anna,"1,2,22"
Ken En Ken: Aoki Kagayaki,"1,2,10,17,6"
Chuubyou Gekihatsu Boy,"4,23"
Bakumatsu Crisis,"1,13,21,78"
Kochouki: Wakaki Nobunaga,"1,8,13,21"
